# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
1.318487426837745988e+04 3.500657783922384316e-21 1.033364141756336792e-21
1.337821821787711815e+04 4.415877917167814262e-22 9.717551425880557564e-22
1.357293926782022572e+04 2.089729427574396447e-21 9.758009368422936397e-22
1.376888364377980542e+04 3.061967363911109331e-21 9.697221479674336785e-22
1.396589940412341821e+04 1.633101072949774915e-21 9.302294478091902819e-22
1.416383760598901608e+04 1.214487903718754371e-21 9.031227824369709373e-22
1.436255328600353641e+04 1.368206247532974167e-21 8.945725296294059185e-22
1.456190626738426727e+04 1.762364095933718615e-21 8.767476074432119047e-22
1.476176180664242384e+04 2.552528516867206424e-22 8.965180566883774119e-22
1.496199109414552004e+04 5.171253696228111823e-22 8.735161918186110546e-22
1.516247162321133692e+04 4.159919940101454221e-23 8.455802323629200112e-22
1.536308744242765533e+04 1.877218533311214512e-21 8.387495380470834307e-22
1.556372930553512560e+04 1.093186964399463088e-21 8.471335624522455761e-22
1.576429473261508974e+04 1.068611602886954161e-21 8.404697665964441559e-22
1.596468799549208597e+04 1.477844967063228139e-21 8.351037857391826961e-22
1.616482003933384658e+04 1.486103070024528118e-21 7.974183784730890222e-22
1.636460835140785821e+04 2.829093819542044294e-21 7.782462027693175785e-22
1.656397678692016052e+04 -4.202630852895484334e-22 7.670478307657414764e-22
1.676285536078986843e+04 8.059443674056464056e-22 7.431893025814553130e-22
1.696118001318196548e+04 5.645412194634111742e-22 7.620460015429389316e-22
1.715889235568500953e+04 8.796936853080232583e-22 7.586020672334252719e-22
1.735593940404798923e+04 1.601775012007822532e-21 7.346519033868710461e-22
1.755227330256591449e+04 4.932386458403666541e-22 7.318528128040929958e-22
1.774784838992443474e+04 9.921099071594829645e-22 7.103274731351839617e-22
1.794262560949661929e+04 1.476502450702785785e-21 7.816707479048951437e-22
1.813657259321181118e+04 1.202486134791127985e-21 7.730681190135695551e-22
1.832965911427956598e+04 1.738074110946033786e-21 6.543555954436498169e-22
1.852185871104589023e+04 2.108962173345903398e-21 6.378140740769559321e-22
1.871314842981697439e+04 1.464603766362391056e-21 5.914480234293969323e-22
1.890350857699878179e+04 2.873240566733981082e-21 6.210592661710823349e-22
1.909291230691208693e+04 1.724823470982963445e-21 6.038763866080785403e-22
1.928134974267839425e+04 1.503985585385577206e-21 6.153741544200895787e-22
1.946881368537857998e+04 1.776571147260165934e-21 6.076702848136206671e-22
1.965529520225321539e+04 2.188259206174327614e-21 5.894692928906193368e-22
1.984077336479352743e+04 2.898610621270351377e-21 5.413919617197324608e-22
2.002524835333903320e+04 2.641785603675816011e-21 5.598169959735623676e-22
2.020872435324788967e+04 2.000782126245547778e-21 5.697439074025840568e-22
2.039118599540337163e+04 3.498760257009329343e-21 5.396591836283805216e-22
2.057263297720318587e+04 3.612019684318009279e-21 5.462356481062431238e-22
2.075307964850355347e+04 4.071347197044435527e-21 5.571419878447413457e-22
2.093250065455559161e+04 3.222639348666108046e-21 5.343295489987532241e-22
2.111092222649358155e+04 5.659445751358606616e-21 5.434351913655306307e-22
2.128833430697174481e+04 7.690327466631262084e-21 5.276190686295342194e-22
2.146474367260186773e+04 7.369357311360489720e-21 5.267614465143528326e-22
