  GW190917_114630_H1     f_GR= 1067 tau_GR= 0.75ms a_f=0.390 | 3ms: f=695 tau=2.41 snr=2.6 delta=2.210+-0.281 used=False | 6ms: delta=-0.688
  GW190917_114630_L1     f_GR= 1067 tau_GR= 0.75ms a_f=0.390 | 3ms: f=907 tau=0.36 snr=2.0 delta=-0.515+-2.417 used=False | 6ms: delta=2.210
  GW190924_021846_H1     f_GR= 1133 tau_GR= 0.88ms a_f=0.657 | 3ms: f=1576 tau=2.81 snr=1.9 delta=2.210+-0.397 used=False | 6ms: delta=1.816
  GW190924_021846_L1     f_GR= 1133 tau_GR= 0.88ms a_f=0.657 | 3ms: f=946 tau=2.81 snr=1.7 delta=2.210+-0.387 used=False | 6ms: delta=2.210
  GW190925_232845_H1     f_GR=  422 tau_GR= 2.49ms a_f=0.703 | 3ms: f=422 tau=8.00 snr=1.9 delta=2.210+-0.244 used=False | 6ms: delta=2.210
  GW190926_050336_H1     f_GR=  177 tau_GR= 5.36ms a_f=0.615 | 3ms: f=218 tau=17.21 snr=2.1 delta=2.210+-0.315 used=False | 6ms: delta=-0.486
  GW190926_050336_L1     f_GR=  177 tau_GR= 5.36ms a_f=0.615 | 3ms: f=246 tau=2.75 snr=2.6 delta=-0.486+-2.473 used=False | 6ms: delta=0.292
  GW190929_012149_H1     f_GR=  115 tau_GR= 7.95ms a_f=0.571 | 3ms: f=117 tau=25.54 snr=2.3 delta=2.210+-0.329 used=False | 6ms: delta=2.210
  GW190929_012149_L1     f_GR=  115 tau_GR= 7.95ms a_f=0.571 | 3ms: f=122 tau=15.31 snr=2.5 delta=0.924+-0.567 used=False | 6ms: delta=-0.444
  GW190930_133541_H1     f_GR=  732 tau_GR= 1.41ms a_f=0.690 | 3ms: f=820 tau=4.53 snr=2.4 delta=2.210+-0.242 used=False | 6ms: delta=1.816
  GW190930_133541_L1     f_GR=  732 tau_GR= 1.41ms a_f=0.690 | 3ms: f=477 tau=1.81 snr=2.6 delta=0.284+-0.854 used=False | 6ms: delta=2.210
  GW191103_012549_H1     f_GR=  791 tau_GR= 1.38ms a_f=0.733 | 3ms: f=687 tau=0.67 snr=2.5 delta=-0.515+-2.271 used=False | 6ms: delta=1.500
  GW191103_012549_L1     f_GR=  791 tau_GR= 1.38ms a_f=0.733 | 3ms: f=535 tau=4.44 snr=3.3 delta=2.210+-0.255 used=False | 6ms: delta=2.210
  GW191105_143521_H1     f_GR=  779 tau_GR= 1.29ms a_f=0.665 | 3ms: f=951 tau=4.13 snr=2.5 delta=2.210+-0.291 used=False | 6ms: delta=0.586
  GW191105_143521_L1     f_GR=  779 tau_GR= 1.29ms a_f=0.665 | 3ms: f=896 tau=2.82 snr=2.0 delta=1.193+-0.470 used=False | 6ms: delta=2.210
  GW191109_010717_H1     f_GR=  118 tau_GR= 7.78ms a_f=0.576 | 3ms: f=78 tau=24.98 snr=3.8 delta=2.210+-0.283 used=False | 6ms: delta=2.210
  GW191109_010717_L1     f_GR=  118 tau_GR= 7.78ms a_f=0.576 | 3ms: f=100 tau=15.94 snr=10.1 delta=1.048+-0.268 used=True | 6ms: delta=0.797
  GW191113_071753_H1     f_GR=  335 tau_GR= 2.44ms a_f=0.421 | 3ms: f=263 tau=7.82 snr=3.1 delta=2.210+-0.297 used=False | 6ms: delta=2.210
  GW191113_071753_L1     f_GR=  335 tau_GR= 2.44ms a_f=0.421 | 3ms: f=466 tau=7.82 snr=2.5 delta=2.210+-0.289 used=False | 6ms: delta=2.210
  GW191126_115259_H1     f_GR=  707 tau_GR= 1.55ms a_f=0.734 | 3ms: f=707 tau=4.99 snr=1.2 delta=2.210+-0.304 used=False | 6ms: delta=2.210
  GW191126_115259_L1     f_GR=  707 tau_GR= 1.55ms a_f=0.734 | 3ms: f=460 tau=0.55 snr=1.3 delta=-0.647+-3.372 used=False | 6ms: delta=2.210
  GW191127_050227_H1     f_GR=  146 tau_GR= 6.94ms a_f=0.676 | 3ms: f=137 tau=10.27 snr=2.9 delta=0.481+-0.638 used=False | 6ms: delta=-0.515
  GW191127_050227_L1     f_GR=  146 tau_GR= 6.94ms a_f=0.676 | 3ms: f=142 tau=17.24 snr=2.4 delta=1.485+-0.408 used=False | 6ms: delta=-0.647
  GW191129_134029_H1     f_GR=  881 tau_GR= 1.15ms a_f=0.677 | 3ms: f=896 tau=3.70 snr=1.9 delta=2.210+-0.329 used=False | 6ms: delta=2.210
  GW191129_134029_L1     f_GR=  881 tau_GR= 1.15ms a_f=0.677 | 3ms: f=574 tau=3.25 snr=1.7 delta=1.816+-0.404 used=False | 6ms: delta=-0.688
  GW191204_110529_H1     f_GR=  288 tau_GR= 3.57ms a_f=0.686 | 3ms: f=353 tau=11.46 snr=2.2 delta=2.210+-0.240 used=False | 6ms: delta=2.210
  GW191204_110529_L1     f_GR=  288 tau_GR= 3.57ms a_f=0.686 | 3ms: f=339 tau=8.28 snr=4.3 delta=1.321+-0.355 used=False | 6ms: delta=2.210
  GW191204_171526_H1     f_GR=  816 tau_GR= 1.32ms a_f=0.722 | 3ms: f=681 tau=4.24 snr=1.6 delta=2.210+-0.299 used=False | 6ms: delta=2.210
  GW191204_171526_L1     f_GR=  816 tau_GR= 1.32ms a_f=0.722 | 3ms: f=531 tau=1.84 snr=1.2 delta=0.391+-0.627 used=False | 6ms: delta=2.210
  GW191215_223052_H1     f_GR=  302 tau_GR= 3.29ms a_f=0.659 | 3ms: f=420 tau=2.20 snr=2.2 delta=-0.333+-1.920 used=False | 6ms: delta=-0.176
  GW191215_223052_L1     f_GR=  302 tau_GR= 3.29ms a_f=0.659 | 3ms: f=238 tau=10.58 snr=2.2 delta=2.210+-0.296 used=False | 6ms: delta=-0.688
  GW191216_213338_H1     f_GR=  853 tau_GR= 1.22ms a_f=0.695 | 3ms: f=922 tau=3.91 snr=1.9 delta=2.210+-0.316 used=False | 6ms: delta=2.210
  GW191219_163120_H1     f_GR=  349 tau_GR= 2.01ms a_f=0.115 | 3ms: f=470 tau=0.92 snr=2.6 delta=-0.541+-2.370 used=False | 6ms: delta=2.210
  GW191219_163120_L1     f_GR=  349 tau_GR= 2.01ms a_f=0.115 | 3ms: f=227 tau=0.63 snr=1.6 delta=-0.688+-4.083 used=False | 6ms: delta=1.833
  GW191222_033537_H1     f_GR=  146 tau_GR= 6.85ms a_f=0.664 | 3ms: f=112 tau=5.61 snr=5.1 delta=-0.181+-0.651 used=True | 6ms: delta=0.000
  GW191222_033537_L1     f_GR=  146 tau_GR= 6.85ms a_f=0.664 | 3ms: f=95 tau=13.33 snr=6.3 delta=0.947+-0.479 used=True | 6ms: delta=2.016
  GW191230_180458_H1     f_GR=  120 tau_GR= 8.28ms a_f=0.659 | 3ms: f=120 tau=2.58 snr=1.6 delta=-0.688+-1.715 used=False | 6ms: delta=0.000
  GW191230_180458_L1     f_GR=  120 tau_GR= 8.28ms a_f=0.659 | 3ms: f=153 tau=26.59 snr=4.0 delta=2.210+-0.230 used=False | 6ms: delta=2.210
  GW200112_155838_L1     f_GR=  229 tau_GR= 4.56ms a_f=0.698 | 3ms: f=291 tau=14.63 snr=1.8 delta=2.210+-0.306 used=False | 6ms: delta=-0.230
  GW200115_042309_H1     f_GR= 1858 tau_GR= 0.43ms a_f=0.383 | 3ms: f=2044 tau=1.38 snr=1.9 delta=2.210+-0.376 used=False | 6ms: delta=-0.688
  GW200115_042309_L1     f_GR= 1858 tau_GR= 0.43ms a_f=0.383 | 3ms: f=1210 tau=0.13 snr=0.9 delta=-0.688+-4.133 used=False | 6ms: delta=2.210
  GW200128_022011_H1     f_GR=  158 tau_GR= 6.76ms a_f=0.715 | 3ms: f=103 tau=12.22 snr=4.5 delta=0.808+-0.484 used=False | 6ms: delta=2.210
  GW200128_022011_L1     f_GR=  158 tau_GR= 6.76ms a_f=0.715 | 3ms: f=186 tau=21.71 snr=1.6 delta=2.210+-0.294 used=False | 6ms: delta=2.210
  GW200129_065458_H1     f_GR=  246 tau_GR= 4.34ms a_f=0.716 | 3ms: f=185 tau=7.33 snr=10.1 delta=0.688+-0.270 used=True | 6ms: delta=0.213
  GW200129_065458_L1     f_GR=  246 tau_GR= 4.34ms a_f=0.716 | 3ms: f=238 tau=3.14 snr=6.5 delta=-0.277+-0.537 used=True | 6ms: delta=2.210
  GW200202_154313_H1     f_GR=  945 tau_GR= 1.09ms a_f=0.685 | 3ms: f=1021 tau=3.49 snr=2.5 delta=2.210+-0.248 used=False | 6ms: delta=0.947
  GW200202_154313_L1     f_GR=  945 tau_GR= 1.09ms a_f=0.685 | 3ms: f=769 tau=3.49 snr=3.3 delta=2.210+-0.358 used=False | 6ms: delta=-0.181
  GW200208_130117_H1     f_GR=  191 tau_GR= 5.16ms a_f=0.650 | 3ms: f=131 tau=16.55 snr=2.6 delta=2.210+-0.349 used=False | 6ms: delta=2.210
  GW200208_130117_L1     f_GR=  191 tau_GR= 5.16ms a_f=0.650 | 3ms: f=141 tau=16.55 snr=2.7 delta=2.210+-0.249 used=False | 6ms: delta=2.210
  GW200208_222617_H1     f_GR=  170 tau_GR= 6.19ms a_f=0.706 | 3ms: f=125 tau=19.88 snr=2.7 delta=2.210+-0.342 used=False | 6ms: delta=2.210
  GW200208_222617_L1     f_GR=  170 tau_GR= 6.19ms a_f=0.706 | 3ms: f=111 tau=1.93 snr=3.0 delta=-0.688+-3.972 used=False | 6ms: delta=1.349
  GW200209_085452_H1     f_GR=  175 tau_GR= 5.55ms a_f=0.638 | 3ms: f=152 tau=17.81 snr=3.4 delta=2.210+-0.281 used=False | 6ms: delta=2.210
  GW200210_092254_H1     f_GR=  430 tau_GR= 1.78ms a_f=0.307 | 3ms: f=401 tau=5.72 snr=2.1 delta=2.210+-0.321 used=False | 6ms: delta=2.210
  GW200210_092254_L1     f_GR=  430 tau_GR= 1.78ms a_f=0.307 | 3ms: f=328 tau=5.72 snr=2.5 delta=2.210+-0.341 used=False | 6ms: delta=2.210
  GW200216_220804_H1     f_GR=  135 tau_GR= 7.57ms a_f=0.683 | 3ms: f=188 tau=2.36 snr=2.4 delta=-0.688+-3.935 used=False | 6ms: delta=1.060
  GW200216_220804_L1     f_GR=  135 tau_GR= 7.57ms a_f=0.683 | 3ms: f=88 tau=2.36 snr=2.6 delta=-0.688+-4.181 used=False | 6ms: delta=-0.688
  GW200219_094415_H1     f_GR=  169 tau_GR= 5.81ms a_f=0.649 | 3ms: f=236 tau=2.47 snr=2.8 delta=-0.574+-2.293 used=False | 6ms: delta=2.210
  GW200219_094415_L1     f_GR=  169 tau_GR= 5.81ms a_f=0.649 | 3ms: f=228 tau=7.09 snr=2.6 delta=0.221+-0.905 used=False | 6ms: delta=0.586
  GW200220_061928_H1     f_GR=   64 tau_GR=16.13ms a_f=0.688 | 3ms: f=46 tau=51.77 snr=2.0 delta=2.210+-0.256 used=False | 6ms: delta=0.126
  GW200220_061928_L1     f_GR=   64 tau_GR=16.13ms a_f=0.688 | 3ms: f=42 tau=24.17 snr=2.3 delta=0.499+-0.784 used=False | 6ms: delta=2.210
